card_name,card_id,image_id,image_index,image_url,filename,status
Cataclysmic Cryonic Coldo,19420830,19420830,1,https://images.ygoprodeck.com/images/cards/19420830.jpg,19420830-cataclysmic-cryonic-coldo.jpg,downloaded
Cataclysmic Scorching Sunburner,39505816,39505816,1,https://images.ygoprodeck.com/images/cards/39505816.jpg,39505816-cataclysmic-scorching-sunburner.jpg,downloaded
Catalyst Field,65959844,65959844,1,https://images.ygoprodeck.com/images/cards/65959844.jpg,65959844-catalyst-field.jpg,downloaded
Catapult Turtle,95727991,95727991,1,https://images.ygoprodeck.com/images/cards/95727991.jpg,95727991-catapult-turtle.jpg,downloaded
Catapult Warrior,37474917,37474917,1,https://images.ygoprodeck.com/images/cards/37474917.jpg,37474917-catapult-warrior.jpg,downloaded
Catapult Zone,14289852,14289852,1,https://images.ygoprodeck.com/images/cards/14289852.jpg,14289852-catapult-zone.jpg,downloaded
Catch of the Day,300102003,300102003,1,https://images.ygoprodeck.com/images/cards/300102003.jpg,300102003-catch-of-the-day.jpg,downloaded
Catche Eve L2,50690129,50690129,1,https://images.ygoprodeck.com/images/cards/50690129.jpg,50690129-catche-eve-l2.jpg,downloaded
Catoblepas and the Witch of Fate,54360049,54360049,1,https://images.ygoprodeck.com/images/cards/54360049.jpg,54360049-catoblepas-and-the-witch-of-fate.jpg,downloaded
Catnipped Kitty,96501677,96501677,1,https://images.ygoprodeck.com/images/cards/96501677.jpg,96501677-catnipped-kitty.jpg,downloaded
"Catoblepas, Familiar of the Evil Eye",45955628,45955628,1,https://images.ygoprodeck.com/images/cards/45955628.jpg,45955628-catoblepas-familiar-of-the-evil-eye.jpg,downloaded
Cattle Call,50619462,50619462,1,https://images.ygoprodeck.com/images/cards/50619462.jpg,50619462-cattle-call.jpg,downloaded
Cauldron of the Old Man,91740879,91740879,1,https://images.ygoprodeck.com/images/cards/91740879.jpg,91740879-cauldron-of-the-old-man.jpg,downloaded
Cattycorn,61245403,61245403,1,https://images.ygoprodeck.com/images/cards/61245403.jpg,61245403-cattycorn.jpg,downloaded
Cave Dragon,93220472,93220472,1,https://images.ygoprodeck.com/images/cards/93220472.jpg,93220472-cave-dragon.jpg,downloaded
Ceasefire,36468556,36468556,1,https://images.ygoprodeck.com/images/cards/36468556.jpg,36468556-ceasefire.jpg,downloaded
Celestia,43912676,43912676,1,https://images.ygoprodeck.com/images/cards/43912676.jpg,43912676-celestia.jpg,downloaded
"Celestia, Lightsworn Angel",94381039,94381039,1,https://images.ygoprodeck.com/images/cards/94381039.jpg,94381039-celestia-lightsworn-angel.jpg,downloaded
Celestial Apparatus Tesea,54092240,54092240,1,https://images.ygoprodeck.com/images/cards/54092240.jpg,54092240-celestial-apparatus-tesea.jpg,downloaded
Celestial Double Star Shaman,25472513,25472513,1,https://images.ygoprodeck.com/images/cards/25472513.jpg,25472513-celestial-double-star-shaman.jpg,downloaded
